cino,act
DLSH010069262019,20
DLSH010069262019,11
DLSH010069262019,2
DLSH010069262019,1533
DLSH010069262019,1540
DLSH010004502019,4
DLSH010004502019,63
DLSH010004502019,1
DLSH010004502019,1529
DLSH010000702019,20
DLSH010000702019,1533
DLSH010005972014,34
DLSH010005972014,4
DLSH010005972014,63
DLSH010005972014,1
DLSH010005972014,2
DLSH010005972014,1529
DLSH010044562017,12
DLSH010044562017,1533
DLSH010044562017,1530
DLSH010002962020,20
DLSH010002962020,39
DLSH010002962020,45
DLSH010002962020,2
DLSH010002962020,12
DLSH010002962020,9
DLSH010002962020,1530
DLSH010037482018,11
DLSH010037482018,1540
DLSH010024122018,11
DLSH010024122018,12
DLSH010024122018,1530
DLSH010050432018,20
DLSH010050432018,12
DLSH010050432018,2
DLSH010050432018,75
DLSH010050432018,1533
DLSH010050432018,1530
DLSH010012172015,2172
DLSH010012172015,35
DLSH010012172015,1
DLSH010012172015,1534
DLSH010017642019,1
DLSH010017642019,2
DLSH010017642019,1529
DLSH010017642019,1540
DLSH010017642019,1530
DLSH010008522015,2172
DLSH010008522015,1
DLSH010008522015,1529
DLSH010074122017,1
DLSH010074122017,1529
DLSH010052002017,11
DLSH010052002017,75
DLSH010052002017,1533
DLSH010032512016,10
DLSH010032512016,75
DLSH010032512016,2
DLSH010032512016,9
DLSH010032512016,1533
DLSH010041562016,1174
DLSH010041562016,1529
DLSH010041562016,1540
DLSH010057522019,45
DLSH010057522019,20
DLSH010057522019,154
DLSH010057522019,48
DLSH010057522019,46
DLSH010057522019,9
DLSH010057522019,1533
DLSH010057032019,22
DLSH010057032019,8
DLSH010057032019,2
DLSH010057032019,9
DLSH010057032019,1534
DLSH010057032019,1529
DLSH010050852017,4
DLSH010050852017,8
DLSH010050852017,1529
DLSH010079782019,1
DLSH010079782019,1534
DLSH010084782018,4
DLSH010084782018,1
DLSH010084782018,63
DLSH010084782018,1534
DLSH010084782018,1529
DLSH010000742019,2173
DLSH010000742019,1671
DLSH010000742019,1530
DLSH010049362018,11
DLSH010049362018,2120
DLSH010049362018,20
DLSH010049362018,1540
DLSH010049362018,2174
DLSH010034692016,11
DLSH010034692016,45
DLSH010034692016,39
DLSH010034692016,2
DLSH010034692016,9
DLSH010034692016,1533
DLSH010048912018,4
DLSH010048912018,5
DLSH010048912018,1529
DLSH010017532015,2175
DLSH010017532015,20
DLSH010017532015,2
DLSH010017532015,1533
DLSH010080172019,1
DLSH010080172019,8
DLSH010080172019,2
DLSH010080172019,1529
DLSH010080172019,1539
DLSH010011452018,12
DLSH010011452018,39
DLSH010011452018,2
DLSH010011452018,1530
DLSH010035002017,12
DLSH010035002017,1540
DLSH010035002017,1530
DLSH010018962017,351
DLSH010018962017,1529
DLSH010006642015,2176
DLSH010006642015,4
DLSH010006642015,1
DLSH010006642015,63
DLSH010006642015,1529
DLSH010055672018,1
DLSH010055672018,4
DLSH010055672018,1534
DLSH010000772019,1
DLSH010000772019,75
DLSH010000772019,1534
DLSH010000772019,1529
DLSH010073442017,20
DLSH010073442017,12
DLSH010073442017,45
DLSH010073442017,9
DLSH010073442017,1533
DLSH010000732019,20
DLSH010000732019,12
DLSH010000732019,9
DLSH010000732019,1530
DLSH010033852019,12
DLSH010033852019,1530
DLSH010058292018,4
DLSH010058292018,5
DLSH010058292018,1529
DLSH010081372017,20
DLSH010081372017,2
DLSH010081372017,1530
DLSH010000712019,11
DLSH010000712019,12
DLSH010000712019,2
DLSH010000712019,1533
DLSH010000712019,1530
DLSH010023002019,1
DLSH010023002019,1534
DLSH010037212016,4
DLSH010037212016,1
DLSH010037212016,5
DLSH010037212016,2
DLSH010037212016,45
DLSH010037212016,112
DLSH010037212016,1534
DLSH010037212016,1529
DLSH010028772018,4
DLSH010028772018,1
DLSH010028772018,63
DLSH010028772018,2
DLSH010028772018,296
DLSH010028772018,1529
DLSH010004572014,2172
DLSH010004572014,1
DLSH010004572014,1529
DLSH010052842019,1
DLSH010052842019,2
DLSH010052842019,1534
DLSH010016442019,113
DLSH010016442019,45
DLSH010016442019,13
DLSH010016442019,2
DLSH010016442019,1529
DLSH010041472017,45
DLSH010041472017,39
DLSH010041472017,20
DLSH010041472017,11
DLSH010041472017,2
DLSH010041472017,1533
DLSH010057012019,4
DLSH010057012019,63
DLSH010057012019,1
DLSH010057012019,1529
DLSH010056652018,1
DLSH010056652018,1534
DLSH010056652018,1529
DLSH010042352018,20
DLSH010042352018,12
DLSH010042352018,2177
DLSH010042352018,1530
DLSH010075742017,45
DLSH010075742017,12
DLSH010075742017,20
DLSH010075742017,4
DLSH010075742017,1533
DLSH010008852015,2178
