act_id,act_name,section_name,act_name_std,section_name_std,act_issue_flag,old_act_id
1,Indian Penal Code,376,I.P.C.,376,0,NA
2,Indian Penal Code,506,I.P.C.,506,0,NA
3,Protection of Children from Sexual Offence Act 2012,4,POCSO Act,4,0,NA
4,Indian Penal Code,363,I.P.C.,363,0,NA
5,Indian Penal Code,366A,I.P.C.,366 A,0,NA
6,Protection of Children from Sexual Offence Act 2012,6,POCSO Act,6,0,NA
7,Protection of Children from Sexual Offence Act 2012,21,POCSO Act,21,0,NA
8,Indian Penal Code,377,I.P.C.,377,0,NA
9,Indian Penal Code,34,I.P.C.,34,0,NA
10,Indian Penal Code,354B,I.P.C.,354 B,0,NA
11,Indian Penal Code,354A,I.P.C.,354 A,0,NA
12,Indian Penal Code,354D,I.P.C.,354 D,0,NA
13,Indian Penal Code,452,I.P.C.,452,0,NA
14,Protection of Children from Sexual Offence Act 2012,8,POCSO Act,8,0,NA
15,Protection of Children from Sexual Offence Act 2012,12,POCSO Act,12,0,NA
16,Indian Penal Code,354a,I.P.C.,354 A,0,NA
17,Indian Penal Code,354b,I.P.C.,354 B,0,NA
18,Indian Penal Code,376D,I.P.C.,376 D,0,NA
19,Indian Penal Code,384,I.P.C.,384,0,NA
20,Indian Penal Code,354,I.P.C.,354,0,NA
21,Indian Penal Code,294,I.P.C.,294,0,NA
22,Indian Penal Code,342,I.P.C.,342,0,NA
23,Indian Penal Code,376(2)(N),I.P.C.,376(2)(n),0,NA
24,Indian Penal Code,225,I.P.C.,225,0,NA
25,Indian Penal Code,180,I.P.C.,180,0,NA
26,"Code of Criminal Procedure, 1973",313,I.P.C.,313,0,NA
27,"Code of Criminal Procedure, 1973",376,I.P.C.,376,0,NA
28,"Code of Criminal Procedure, 1973",506,I.P.C.,506,0,NA
29,"Code of Criminal Procedure, 1973",363,I.P.C.,363,0,NA
30,"Code of Criminal Procedure, 1973",366A,I.P.C.,366 A,0,NA
31,"Code of Criminal Procedure, 1973",511,I.P.C.,511,0,NA
32,Indian Penal Code,120B,I.P.C.,120 B,0,NA
33,Indian Penal Code,343,I.P.C.,343,0,NA
34,Indian Penal Code,365,I.P.C.,365,0,NA
35,Indian Penal Code,328,I.P.C.,328,0,NA
36,Indian Penal Code,120b,I.P.C.,120 B,0,NA
37,Indian Penal Code,201,I.P.C.,201,0,NA
38,Indian Penal Code,354C,I.P.C.,354 C,0,NA
39,Indian Penal Code,341,I.P.C.,341,0,NA
40,Scheduled Castes and Scheduled Tribes Orders (Amendment)  Act,3,SC/ST Act,3,1,NA
41,Protection of Children from Sexual Offence Act 2012,11(iv),POCSO Act,11(iv),0,NA
42,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3,SC/ST Act,3,1,NA
43,"Code of Criminal Procedure, 1973",354A,I.P.C.,354 A,0,NA
45,Indian Penal Code,323,I.P.C.,323,0,NA
46,Indian Penal Code,325,I.P.C.,325,0,NA
47,"Code of Criminal Procedure, 1973",354,I.P.C.,354,0,NA
48,Indian Penal Code,451,I.P.C.,451,0,NA
49,Protection of Children from Sexual Offence Act 2012,18,POCSO Act,18,0,NA
50,Indian Penal Code,457,I.P.C.,457,0,NA
51,Indian Penal Code,511,I.P.C.,511,0,NA
52,Indian Penal Code,406,I.P.C.,406,0,NA
53,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,1w,"SC/ST Amendment Act, 2015",3(1)(w),0,NA
54,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,2w,SC/ST Act,2w,1,NA
55,"Code of Criminal Procedure, 1973",452,I.P.C.,452,0,NA
56,Indian Penal Code,362,I.P.C.,362,0,NA
