type_name,Broad heading it falls under ,updated_type_name
SC,SC,Sessions Case (SC)
Cr Case,SC,Cr. Case
Cr. Case,SC,Cr. Case
Sp Procso,SC,Special (POCSO) Case
Spl. POCSO,SC,Special (POCSO) Case
Special(POCSO) Case,SC,Special (POCSO) Case
Cases Under POCSO Act,SC,POCSO Act
Special Case POCSO,SC,Special (POCSO) Case
Spl (CCL),SC,Special (CCL)
POCSO Act,SC,POCSO Act
Sessions Spl POCSO,SC,Sessions Special POCSO
Special POSCO,SC,Special (POCSO) Case
SC T2,SC,Sessions Case (SC)
SPECIAL JUVENILE,SC,Special Juvenile Case
SPECIAL JUVENILE CASE,SC,Special Juvenile Case
Special Case ( P ),SC,Special (POCSO) Case
Special (POCSO),SC,Special (POCSO) Case
Special Case,SC,Special Case
Sessions Case T II,SC,Sessions Case (SC)
Sessions Case,SC,Sessions Case (SC)
Sessions ( Spl.),SC,Sessions Special
Sessions Spl. (C),SC,Sessions Special
Special Sessions (POCSO),SC,Sessions Special POCSO
Sessions Special (POCSO),SC,Sessions Special POCSO
Special(Children),SC,Special Case
Spl. POCSO Act.,SC,Special (POCSO) Case
Spl. P.O.C.S.O,SC,Special (POCSO) Case
Sessions Case Type 2,SC,Sessions Case (SC)
Special POCSO,SC,Special (POCSO) Case
Special( P and C),SC,Special Case
Special Case (Children),SC,Special Case
Special Case (POCSO),SC,Special (POCSO) Case
Special,SC,Special Case
Special ( Pocso Act ),SC,Special (POCSO) Case
Special (POCSO Act),SC,Special (POCSO) Case
Sessions (Special),SC,Sessions Special
POCSO,SC,POCSO Act
SpecialPOCSO,SC,Special (POCSO) Case
Special A,SC,Special Case
Sessions Spl,SC,Sessions Special
Sessions Spl.,SC,Sessions Special
Spl (pocso),SC,Special (POCSO) Case
PCSO Act 2012,SC,POCSO Act
Sessions Case Type-I,SC,Sessions Case (SC)
SPL(Pocso),SC,Special (POCSO) Case
SPL(N),SC,Special Case
Pcso Act,SC,POCSO Act
S C,SC,Sessions Case (SC)
S.C.,SC,Sessions Case (SC)
SC AND ST ACT,SC,SC-ST Act
SC-ST,SC,SC-ST Act
Sessions  Spl POCSO,SC,Sessions Special POCSO
Sessions  Spl,SC,Sessions Special
Sessions Case  T II,SC,Sessions Case (SC)
