purpose,consolidated_purpose_of_hearing
Misc./ Appearance,Miscellaneous Appearance
Charge,Charge
Prosecution Evidence,Prosecution Evidence
Order,Miscellaneous Order
Disposed,Judgement
Misc. Arguments,Miscellaneous Arguments
Statement of Accused,Statement of Accused
Final Arguments,Final Arguments
For Bail,Bail
Appereance,Miscellaneous Appearance
Procecution Evidence,Prosecution Evidence
313 Cr.Pc,Statement of Accused
Defence Evidence,Defence Evidence
Final Order,Judgement
Reply,Miscellaneous
Arguments,Miscellaneous Arguments
Further Order,Miscellaneous Order
Consideration,Miscellaneous
Revoked,Miscellaneous
Defendant Evidence,Defence Evidence
Written Statement,Miscellaneous
FINAL ORDER,Judgement
REPLY,Miscellaneous
CONSIDERATION,Miscellaneous
Final Hearing,Final Arguments
Appearance,Miscellaneous Appearance
Notice,Miscellaneous
Evidence,Other Evidence
Respondent Evidence,Defence Evidence
Judgements,Judgement
Arguments on Quantum,Sentence
Plaintiff Evidence,Prosecution Evidence
Dismissed under 35-B,Miscellaneous
QUANTUM OF SENTENCE,Sentence
Plantiff Evidence,Prosecution Evidence
Preliminary Evidence,Other Evidence
APPEARANCE,Miscellaneous Appearance
CONSIDERATION ON CHARGE,Charge
PROSECUTION EVIDENCE,Prosecution Evidence
STATEMENT OF ACCUSED U/S 313 CR.P.C.,Statement of Accused
DEFENCE EVIDENCE,Defence Evidence
ARGUMENTS,Miscellaneous Arguments
HEARING ON QUESTION OF SENTENCE,Sentence
ORDER,Miscellaneous Order
FILING OF WRITTEN REPLY,Miscellaneous
AWAITING CHALLAN,Miscellaneous
AWAITING FURTHER ORDERS,Miscellaneous
REPLY TO OBJECTIONS,Miscellaneous
DEFENDANTS EVIDENCE,Defence Evidence
PROSECUTION EVIDENCE U/S 299 CR.P.C.,Prosecution Evidence
FINAL ARGUMENTS,Final Arguments
NOTICE TO RESPONDENT,Miscellaneous
PETITIONERS EVIDENCE,Prosecution Evidence
JUDICIAL REMAND(TO BE PRODUCED IN THE COURT ON NEXT DATE),Miscellaneous Appearance
ARGUMENTS PART HEARD,Miscellaneous Arguments
PRODUCTION WARRANT,Miscellaneous Appearance
NON BAILABLE WARRANT OF ACCUSED,Miscellaneous Appearance
SCRUTINY,Miscellaneous
SUMMONING OF ACCUSED,Miscellaneous Appearance
Orders,Miscellaneous Order
HEARING OF SENTENCE,Sentence
Petitioner Evidence,Prosecution Evidence
Defence Evidence and Argument,Defence Evidence
ARREST WARRANT,Miscellaneous
NOTICE,Miscellaneous
Written Statement/ Reply,Miscellaneous
Pws,Prosecution Evidence
DWs/RWs,Defence Evidence
Awaiting report,Miscellaneous
Misc. Argument,Miscellaneous Arguments
Issues,Charge
Bail Application,Bail
hearing,Miscellaneous
WARRANT,Miscellaneous
PRESENCE,Miscellaneous Appearance
Awaiting Report,Miscellaneous
AWAITING ORDER,Miscellaneous
STATEMENT OF PARTIES,Other Evidence
Consideration of Charge(C.C),Charge
Appearence,Miscellaneous Appearance
Necessary Order,Miscellaneous Order
Hearing,Miscellaneous
Production of Accused,Miscellaneous Appearance
Hearing on C. C.,Charge
Copy,Miscellaneous Appearance
313 Cr.P.C Statement,Statement of Accused
Judgement,Judgement
Prosecution Witness,Prosecution Evidence
Case Diary,Miscellaneous
Hearing of Bail Application,Bail
Remanded Till,Miscellaneous
Statement and defence,Statement of Accused
Inspection,Miscellaneous
Service Report,Miscellaneous
Objection,Miscellaneous
Documents,Miscellaneous
Defendant Witness,Defence Evidence
Hearing on Petition,Miscellaneous
Cross examination of Prosecution Witness,Prosecution Evidence
Court/Official witness,Other Evidence
Court/Official  witness,Other Evidence
Report,Miscellaneous
F.F,Miscellaneous
Statement,Other Evidence
Copy.,Miscellaneous Appearance
313 Cr.Pc Statement,Statement of Accused
I/O,Miscellaneous
S/D,Defence Evidence
Evidence of I.O,Prosecution Evidence
Further Argument,Miscellaneous Arguments
SR/Objection,Miscellaneous
Evidence After Charge,Prosecution Evidence
313 Cr.Pc STatement,Statement of Accused
Admission,Miscellaneous
Defense Witness,Defence Evidence
Necessary Step,Miscellaneous
Record,Miscellaneous
Cross examination of Plaintiff/Claimant Witness,Prosecution Evidence
Admission Hearing,Miscellaneous
Plantiff Witness,Prosecution Evidence
Appeal Revision,Miscellaneous
put up for order,Miscellaneous Order
Inquiry,Miscellaneous
Cross Examination of Defendant Witness,Defence Evidence
Further Evidence,Other Evidence
SD and Argument,Defence Evidence
For Judgement,Judgement
Statement Defence and Argument,Defence Evidence
SD,Defence Evidence
Enquiry,Miscellaneous
For Put up,Miscellaneous
Evidence on Official Witness,Other Evidence
copy for,Miscellaneous
For I.O,Prosecution Evidence
Further Arguments,Miscellaneous Arguments
Official Witness,Other Evidence
Evidence of I/O,Prosecution Evidence
Statement of Account,Statement of Accused
Charge Order,Charge
Judgment,Judgement
Copy..,Miscellaneous Appearance
Production and Appearance,Miscellaneous Appearance
Further Hearing,Miscellaneous
Objection and Hearing,Miscellaneous
Framing of Charges,Charge
Cross,Other Evidence
Further Evidence..,Other Evidence
Initial Deposition,Other Evidence
For Copy,Miscellaneous Appearance
steps/ report,Miscellaneous
APPEARANCE OF ACCUSED,Miscellaneous Appearance
Hearing on Sentence,Sentence
For Compliance,Miscellaneous
Submission of Stay Order,Miscellaneous
For Orders,Miscellaneous Order
For Alerts before action,Miscellaneous
For Admission Hearing of Appeals,Miscellaneous
Petition,Miscellaneous
Hearing arguments on Charge,Charge
Evidence Further,Other Evidence
Final Eviction Appeal,Miscellaneous
Copy -,Miscellaneous Appearance
M.O.,Prosecution Evidence
I.O,Prosecution Evidence
Statement of accused u/s 313 Cr.P.C.,Statement of Accused
IO,Prosecution Evidence
Transfer,Transfer
Croos Examination of Opposite Party,Other Evidence
M.O,Prosecution Evidence
Cross Examination of Defense Witness,Defence Evidence
M.O. and I.O.,Prosecution Evidence
Remaining Evidence,Other Evidence
Plantiff /Claimant Evidence,Prosecution Evidence
Nazir Report,Miscellaneous
Payment,Miscellaneous
E.O.,Other Evidence
Evidence of IO,Prosecution Evidence
Put up.,Miscellaneous
Final Form,Miscellaneous
Copy 1,Miscellaneous Appearance
Production of Accused ( DORMANT CASE	 ),Miscellaneous Appearance
Evidence of M.O,Prosecution Evidence
WS/ Objection,Miscellaneous
Written Objection and Hearing,Miscellaneous Arguments
